Country,Population,Total Cases,Total Deaths
Afghanistan,40462186,177827,7671
Albania,2872296,273870,3492
Algeria,45236699,265691,6874
Angola,34654212,99194,1900
Argentina,45921761,9041124,128065
Armenia,2972939,422574,8617
Australia,26017767,4680816,6384
Austria,9096360,3887355,15985
Azerbaijan,10299156,792061,9697
Bahamas,399822,33295,788
Bahrain,1804995,556241,1471
Bangladesh,167561502,1951770,29122
Barbados,287991,59938,375
Belarus,9443882,965322,6844
Belgium,11677924,3851048,30826
Belize,410260,57289,656
Bolivia,11951714,902448,21896
Bosnia and Herzegovina,3245097,375693,15719
Botswana,2434708,305526,2686
Brazil,215204501,29999816,660269
Brunei ,444812,135974,213
Bulgaria,6856886,1140679,36568
Burkina Faso,21905848,20853,382
Cabo Verde,566557,55960,401
Cambodia,17123941,135747,3054
Cameroon,27701805,119544,1927
Canada,38321435,3499226,37690
Chile,19403451,3486653,56750
China,1439323776,154738,4638
Colombia,51832231,6085926,139660
Congo,5755689,24071,385
Costa Rica,5175547,839368,8308
Croatia,4060951,1102730,15601
Cuba,11314513,1092547,8514
Cyprus,1222745,439964,947
Czechia,10743762,3830631,39720
Denmark,5827911,2919428,5762
Dominican Republic,11038333,578130,4375
Congo,94323344,86748,1337
Ecuador,18111933,859890,35421
Egypt,105711844,505264,24417
El Salvador,6543499,161570,4120
Estonia,1328097,558706,2468
Eswatini,1181191,69851,1394
Ethiopia,119945147,469819,7504
Fiji,907817,64422,834
Finland,5555788,889626,3178
France,65526369,25997852,142506
French Guiana,312224,79075,394
French Polynesia,283751,72318,646
Gabon,2317612,47586,303
Gambia,2535418,11988,365
Georgia,3975762,1649222,16756
Germany,84252947,21646375,130563
Ghana,32207812,160971,1445
Greece,10333930,3077711,27684
Grenada,113436,14024,218
Guadeloupe,400244,130705,843
Guatemala,18495493,830745,17325
Guinea,13755881,36459,440
Guyana,793196,63272,1226
Haiti,11645833,30549,833
Honduras,10180299,421062,10880
Hong Kong,7603455,1171422,8172
Hungary,9617409,1854198,45510
India,1403754381,43029044,521388
Indonesia,278586508,6019981,155288
Iran,85874667,7167646,140315
Iraq,41801625,2320260,25173
Ireland,5034333,1471210,6786
Israel,9326000,3943153,10530
Italy,60306185,14846514,159784
Ivory Coast,27520953,81761,796
Jamaica,2983794,128811,2893
Japan,125798669,6653841,28248
Jordan,10380442,1689314,14003
Kazakhstan,19169833,1305188,13660
Kenya,55843563,323454,5648
Kuwait,4381108,629525,2554
Kyrgyzstan,6712569,200968,2991
Laos,7460338,183560,679
Latvia,1849698,802534,5643
Lebanon,6771939,1092995,10315
Lesotho,2171978,32910,697
Liberia,5265647,7400,294
Libya,7034832,501738,6419
Lithuania,2655811,1030966,8907
Luxembourg,643801,216979,1037
Madagascar,28936285,64050,1388
Malawi,19994654,85664,2626
Malaysia,33091831,4246467,35099
Maldives,557204,176993,298
Mali,21271006,30495,728
Malta,443602,81596,641
Martinique,374756,141415,909
Mauritania,4863443,58670,982
Mauritius,1275463,36628,968
Mexico,131303955,5665376,323212
Moldova,4017550,514199,11446
Mongolia,3370682,468610,2177
Montenegro,628205,233326,2705
Morocco,37676342,1163526,16060
Mozambique,32787052,225266,2200
Myanmar,55048340,611875,19433
Namibia,2621429,157646,4019
Nepal,30053867,978475,11951
Netherlands,17201245,7908701,22016
New Caledonia,290302,60294,311
New Zealand,5002100,693219,350
Nicaragua,6762511,18434,224
Niger,25738714,8811,308
Nigeria,215077352,255468,3142
North Macedonia,2083224,306670,9228
Norway,5495449,1408708,2518
Oman,5333815,388468,4251
Pakistan,228397520,1525466,30361
Palestine,5308883,581236,5351
Panama,4433639,765213,8170
Papua New Guinea,9243590,42203,640
Paraguay,7285892,648353,18731
Peru,33775745,3548559,212328
Philippines,112133868,3679485,59343
Poland,37774045,5969621,115345
Portugal,10144662,3604114,21693
Qatar,2807805,361819,677
R̩union,906497,336945,709
Romania,19013049,2860094,65090
Russia,146044010,17896866,369708
Rwanda,13513881,129728,1458
S. Korea,51346429,13874216,17235
Saint Lucia,185096,22964,365
Saudi Arabia,35762746,751076,9048
Senegal,17515750,85919,1965
Serbia,8675762,1980722,15825
Singapore,5930887,1109744,1276
Slovakia,5464272,1725487,19417
Slovenia,2079438,973892,6501
Somalia,16668781,26400,1348
South Africa,60617532,3722954,100050
Spain,46786482,11551574,102541
Sri Lanka,21570428,661991,16481
Sudan,45640385,61955,4907
Suriname,595833,79232,1325
Sweden,10209507,2487852,18331
Switzerland,8765420,3490876,13715
Syria,18244381,55711,3144
Taiwan,23892241,24310,853
Tanzania,62710097,33815,800
Thailand,70106601,3711595,25418
Togo,8618172,36944,272
Trinidad and Tobago,1407422,138425,3756
Tunisia,12035092,1035884,28323
Turkey,85927644,14894731,98157
UAE,10099567,892170,2302
Uganda,48267221,163936,3595
UK,68510300,21216874,165570
Ukraine,43273831,4968881,107980
Uruguay,3494806,889513,7166
USA,334400597,81839052,1008222
Uzbekistan,34318156,237853,1637
Venezuela,28294895,520843,5686
Vietnam,98871712,9818328,42600
Yemen,30975258,11806,2143
Zambia,19284482,317076,3967
Zimbabwe,15241601,246525,5446